"record_id","record_id_source","legacy_archive_id","legacy_record_id","volume","mofa_material_id","source_url","title_jp","title_en","release_status_en_normalized","region_ids","reaction_region_ids","entity_ids","entity_review_required","organization_ids","related_organization_ids","event_ids","bloc_ids","keyword_ids","analytical_context_ids","primary_subject_jp","primary_subject_en","source_verified_note"
"mofa_100_112015","mofa_material_id_resolved_exact_bunruiNo_volume","C'.4.2.0.1","legacy_c_4_2_0_1_vol2","2","100-112015","https://da.mofa.go.jp/material-detail?id=100-112015","各国兵器関係（第二巻）","Weapons and Armaments in Various Countries (Vol. 2)","Partially Open","ASIA_PACIFIC;MIDEAST;AFRICA","","AUS;SGP;PRC;THA;NZL;IND;IDN;SYR;TUR;ISR;EGY;KEN","","","","","","","","","","Resolved by volume title from MOFA API exact bunruiNo search on 2026-06-25."
"mofa_100_000928","mofa_material_id_resolved_exact_bunruiNo_volume","M'.3.1.7.8-2-4","legacy_m_3_1_7_8_2_4_vol1","1","100-000928","https://da.mofa.go.jp/material-detail?id=100-000928","在外公館長会議関係 アジア、太平洋地域公館公館長会議 第四回（第一巻）","Meetings of Chiefs of Overseas Missions: Fourth Meeting of Chiefs of Missions in the Asia-Pacific Region (Vol. 1)","Open","ASIA_PACIFIC","","JPN","","","","","","","","","","Resolved by volume title from MOFA API exact bunruiNo search on 2026-06-25."
"mofa_100_053589","mofa_material_id_resolved_exact_bunruiNo_volume","M'.3.1.7.8-6-5","legacy_m_3_1_7_8_6_5_vol2","2","100-053589","https://da.mofa.go.jp/material-detail?id=100-053589","在外公館長会議関係 中近東地域公館長会議 第五回会議関係（第二巻）","Meetings of Chiefs of Overseas Missions: Fifth Meeting of Chiefs of Missions in the Middle East Region (Vol. 2)","Partially Open","MIDEAST","","JPN","","","","","","","","","","Resolved by volume title from MOFA API exact bunruiNo search on 2026-06-25."
"mofa_100_006322","mofa_material_id_auto_exact_bunruiNo","2011-0710","legacy_2011_0710","","100-006322","https://da.mofa.go.jp/material-detail?id=100-006322","日中国交正常化（諸外国の反応）","Normalization of Japan-PRC Relations: Reactions of Foreign Countries","Partially Open","ASIA","","JPN;PRC;ROC;TWN","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_006324","mofa_material_id_auto_exact_bunruiNo","2011-0712","legacy_2011_0712","","100-006324","https://da.mofa.go.jp/material-detail?id=100-006324","日中国交正常化（諸外国の反応）","Normalization of Japan-PRC Relations: Reactions of Foreign Countries","Partially Open","ASIA","","JPN;PRC;ROC;TWN","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_006326","mofa_material_id_auto_exact_bunruiNo","2011-0714","legacy_2011_0714","","100-006326","https://da.mofa.go.jp/material-detail?id=100-006326","日中国交正常化（田中総理中国訪問（諸外国の反応））","Normalization of Japan-PRC Relations: Reactions of Foreign Countries to Prime Minister Tanaka's Visit to China","Open","ASIA","","JPN;PRC;TWN","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_006897","mofa_material_id_auto_exact_bunruiNo","2013-3308","legacy_2013_3308","","100-006897","https://da.mofa.go.jp/material-detail?id=100-006897","日中関係","Japan-China Relations","Partially Open","ASIA","","JPN;PRC;CHN_AMBIG","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_110350","mofa_material_id_auto_exact_bunruiNo","2016-0275","legacy_2016_0275","","100-110350","https://da.mofa.go.jp/material-detail?id=100-110350","日中関係(総理/大臣等発言要領)","Japan-China Relations: Statements by the Prime Minister, Ministers, and Other Officials","Open","ASIA","","JPN;PRC;CHN_AMBIG","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_101788","mofa_material_id_auto_exact_bunruiNo","2014-3076","legacy_2014_3076","","100-101788","https://da.mofa.go.jp/material-detail?id=100-101788","華国鋒中国国務院総理訪日/報道振り返り","Visit to Japan by PRC Premier Hua Guofeng: Press Review","Open","ASIA","","JPN;PRC","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_111122","mofa_material_id_auto_exact_bunruiNo","2016-1326","legacy_2016_1326","","100-111122","https://da.mofa.go.jp/material-detail?id=100-111122","米国政治（含、対日関係）","United States Politics, Including Relations with Japan","Partially Open","NORTH_AMERICA","EAST_ASIA;SOUTH_ASIA;MIDEAST;AFRICA;LATIN_AMERICA;CENTRAL_AMERICA;GLOBAL","USA;JPN","","UN;UNGA","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_077384","mofa_material_id_auto_exact_bunruiNo","2013-0327","legacy_2013_0327","","100-077384","https://da.mofa.go.jp/material-detail?id=100-077384","ニュー・ジーランド外交","New Zealand Diplomacy","Partially Open","ASIA_PACIFIC","","NZL","","","","","ASIAN_FREE_WORLD;ASIAN_COMMUNIST_BLOC","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_110682","mofa_material_id_auto_exact_bunruiNo","2016-0860","legacy_2016_0860","","100-110682","https://da.mofa.go.jp/material-detail?id=100-110682","ニュー・ジーランド外交","New Zealand Diplomacy","Open","ASIA_PACIFIC","","NZL","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_006829","mofa_material_id_auto_exact_bunruiNo","2013-2429","legacy_2013_2429","","100-006829","https://da.mofa.go.jp/material-detail?id=100-006829","中共・アフリカ諸国関係","PRC-Africa Relations","Partially Open","AFRICA","","PRC","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_070115","mofa_material_id_auto_exact_bunruiNo","2013-2430","legacy_2013_2430","","100-070115","https://da.mofa.go.jp/material-detail?id=100-070115","中共・アフリカ諸国関係","PRC-Africa Relations","Partially Open","AFRICA","","PRC","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_070114","mofa_material_id_auto_exact_bunruiNo","2013-2431","legacy_2013_2431","","100-070114","https://da.mofa.go.jp/material-detail?id=100-070114","中共・アフリカ諸国関係","PRC-Africa Relations","Partially Open","AFRICA","","PRC","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_070860","mofa_material_id_auto_exact_bunruiNo","2013-2432","legacy_2013_2432","","100-070860","https://da.mofa.go.jp/material-detail?id=100-070860","中共・アフリカ諸国関係","PRC-Africa Relations","Partially Open","AFRICA","","PRC","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_070113","mofa_material_id_auto_exact_bunruiNo","2013-2433","legacy_2013_2433","","100-070113","https://da.mofa.go.jp/material-detail?id=100-070113","中共・中近東、アフリカ諸国関係","PRC Relations with the Middle East and African Countries","Access Review Required","MIDEAST;AFRICA","","PRC","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_070337","mofa_material_id_auto_exact_bunruiNo","2013-2434","legacy_2013_2434","","100-070337","https://da.mofa.go.jp/material-detail?id=100-070337","中共・中近東、アフリカ諸国関係","PRC Relations with the Middle East and African Countries","Access Review Required","MIDEAST;AFRICA","","PRC","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_070338","mofa_material_id_auto_exact_bunruiNo","2013-2435","legacy_2013_2435","","100-070338","https://da.mofa.go.jp/material-detail?id=100-070338","中共・中近東、アフリカ諸国関係","PRC Relations with the Middle East and African Countries","Access Review Required","MIDEAST;AFRICA","","PRC","","","","NAM_SUMMIT_3_1970","NON_ALIGNED_MOVEMENT","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_070859","mofa_material_id_auto_exact_bunruiNo","2013-2436","legacy_2013_2436","","100-070859","https://da.mofa.go.jp/material-detail?id=100-070859","中共・中近東、アフリカ諸国関係","PRC Relations with the Middle East and African Countries","Access Review Required","MIDEAST;AFRICA","","PRC","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_070116","mofa_material_id_auto_exact_bunruiNo","2013-2437","legacy_2013_2437","","100-070116","https://da.mofa.go.jp/material-detail?id=100-070116","中共・中近東、アフリカ諸国関係","PRC Relations with the Middle East and African Countries","Access Review Required","MIDEAST;AFRICA","","PRC","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_112859","mofa_material_id_auto_exact_bunruiNo","2017-0035","legacy_2017_0035","","100-112859","https://da.mofa.go.jp/material-detail?id=100-112859","中国・ソ連関係","Sino-Soviet Relations","Access Review Required","ASIA","","PRC;USSR","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_070132","mofa_material_id_auto_exact_bunruiNo","2012-1600","legacy_2012_1600","","100-070132","https://da.mofa.go.jp/material-detail?id=100-070132","ビルマ外交","Burmese Diplomacy","Partially Open","ASIA","","MMR","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_043360","mofa_material_id_auto_exact_bunruiNo","2010-5146","legacy_2010_5146","","100-043360","https://da.mofa.go.jp/material-detail?id=100-043360","アンゴラ独立/各国承認状況","Angolan Independence: Recognition by Various Countries","Partially Open","AFRICA","","AGO","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_112095","mofa_material_id_auto_exact_bunruiNo","2016-2224","legacy_2016_2224","","100-112095","https://da.mofa.go.jp/material-detail?id=100-112095","中東情勢","Middle East Situation","Access Review Required","MIDEAST","","","","","","","SOCIALIST_BLOC","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_075248","mofa_material_id_auto_exact_bunruiNo","2012-3120","legacy_2012_3120","","100-075248","https://da.mofa.go.jp/material-detail?id=100-075248","中東情勢","Middle East Situation","Partially Open","MIDEAST","","","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_075249","mofa_material_id_auto_exact_bunruiNo","2012-3121","legacy_2012_3121","","100-075249","https://da.mofa.go.jp/material-detail?id=100-075249","中東情勢","Middle East Situation","Partially Open","MIDEAST","","","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_075256","mofa_material_id_auto_exact_bunruiNo","2012-3122","legacy_2012_3122","","100-075256","https://da.mofa.go.jp/material-detail?id=100-075256","中東情勢","Middle East Situation","Partially Open","MIDEAST","","","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_075268","mofa_material_id_auto_exact_bunruiNo","2012-3153","legacy_2012_3153","","100-075268","https://da.mofa.go.jp/material-detail?id=100-075268","中東情勢","Middle East Situation","Partially Open","MIDEAST","","","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_073346","mofa_material_id_auto_exact_bunruiNo","2011-0082","legacy_2011_0082","","100-073346","https://da.mofa.go.jp/material-detail?id=100-073346","カンボディア問題","Cambodian Question","Access Review Required","ASIA","","KHM","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_006256","mofa_material_id_auto_exact_bunruiNo","2011-0092","legacy_2011_0092","","100-006256","https://da.mofa.go.jp/material-detail?id=100-006256","カンボディア問題（含、カンボディア民族連合王国政府）","Cambodian Question, Including the Royal Government of National Union of Cambodia","Partially Open","ASIA","","KHM","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_006840","mofa_material_id_auto_exact_bunruiNo","2013-2495","legacy_2013_2495","","100-006840","https://da.mofa.go.jp/material-detail?id=100-006840","中共・インド国境紛争","Sino-Indian Border Conflict","Partially Open","ASIA","","PRC;IND","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_070112","mofa_material_id_auto_exact_bunruiNo","2013-3457","legacy_2013_3457","","100-070112","https://da.mofa.go.jp/material-detail?id=100-070112","中共・インド国境紛争","Sino-Indian Border Conflict","Open","ASIA","","PRC;IND","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_102145","mofa_material_id_auto_exact_bunruiNo","2014-3238","legacy_2014_3238","","100-102145","https://da.mofa.go.jp/material-detail?id=100-102145","アフガニスタン問題","Afghanistan Question","Partially Open","ASIA","","AFG","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_111045","mofa_material_id_auto_exact_bunruiNo","2016-1363","legacy_2016_1363","","100-111045","https://da.mofa.go.jp/material-detail?id=100-111045","中東問題/紅海における爆雷爆発事件","Middle East Question: Mine Explosion Incident in the Red Sea","Partially Open","MIDEAST","","","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_113375","mofa_material_id_auto_exact_bunruiNo","2017-0685","legacy_2017_0685","","100-113375","https://da.mofa.go.jp/material-detail?id=100-113375","中東問題","Middle East Question","Access Review Required","MIDEAST","","","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_114105","mofa_material_id_auto_exact_bunruiNo","2018-0150","legacy_2018_0150","","100-114105","https://da.mofa.go.jp/material-detail?id=100-114105","イラン・イラク問題","Iran-Iraq Question","Access Review Required","MIDEAST","","IRN;IRQ","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_116354","mofa_material_id_auto_exact_bunruiNo","2019-0762","legacy_2019_0762","","100-116354","https://da.mofa.go.jp/material-detail?id=100-116354","イラン・イラク問題","Iran-Iraq Question","Partially Open","MIDEAST","","IRN;IRQ","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_116345","mofa_material_id_auto_exact_bunruiNo","2019-0768","legacy_2019_0768","","100-116345","https://da.mofa.go.jp/material-detail?id=100-116345","イラン・イラク問題","Iran-Iraq Question","Access Review Required","MIDEAST","","IRN;IRQ","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_076469","mofa_material_id_auto_exact_bunruiNo","2014-0899","legacy_2014_0899","","100-076469","https://da.mofa.go.jp/material-detail?id=100-076469","トルコ外交","Turkish Diplomacy","Partially Open","MIDEAST","","TUR","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_109865","mofa_material_id_auto_exact_bunruiNo","2016-0063","legacy_2016_0063","","100-109865","https://da.mofa.go.jp/material-detail?id=100-109865","西独外交","West German Diplomacy","Partially Open","EUROPE;WESTERN_EUROPE","EASTERN_EUROPE;ASIA;EAST_ASIA;SOUTHEAST_ASIA;SOUTH_ASIA;LATIN_AMERICA;MIDEAST;AFRICA","DEU_W","","EC","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_005244","mofa_material_id_auto_exact_bunruiNo","2009-0721","legacy_2009_0721","","100-005244","https://da.mofa.go.jp/material-detail?id=100-005244","中国・諸外国間貿易協定","Trade Agreements between the PRC and Foreign Countries","Open","ASIA","","PRC","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_071248","mofa_material_id_auto_exact_bunruiNo","2013-3130","legacy_2013_3130","","100-071248","https://da.mofa.go.jp/material-detail?id=100-071248","中共貿易/統計，資料（含、対日関係）","PRC Trade: Statistics and Reference Materials (Including Relations with Japan)","Open","ASIA","","PRC;JPN","","","","","SOCIALIST_BLOC","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_071249","mofa_material_id_auto_exact_bunruiNo","2013-3131","legacy_2013_3131","","100-071249","https://da.mofa.go.jp/material-detail?id=100-071249","中共対外経済援助","PRC Foreign Economic Assistance","Partially Open","ASIA;AFRICA;MIDEAST","","PRC","","","","","SOCIALIST_BLOC","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_005461","mofa_material_id_auto_exact_bunruiNo","2010-1116","legacy_2010_1116","","100-005461","https://da.mofa.go.jp/material-detail?id=100-005461","国連","United Nations","Open","GLOBAL;ASIA;AFRICA","EAST_ASIA;ASIA;AFRICA","","","UN","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_006060","mofa_material_id_auto_exact_bunruiNo","2010-5183","legacy_2010_5183","","100-006060","https://da.mofa.go.jp/material-detail?id=100-006060","国連","United Nations","Open","ASIA;EAST_ASIA;SOUTHEAST_ASIA","ASIA_PACIFIC;SOUTH_ASIA;OCEANIA;GLOBAL","","","UN;WMO;ECAFE","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_103098","mofa_material_id_auto_exact_bunruiNo","2014-4131","legacy_2014_4131","","100-103098","https://da.mofa.go.jp/material-detail?id=100-103098","国連代表権問題/中共","Question of China's Representation in the United Nations","Partially Open","ASIA","","PRC;ROC;CHN_AMBIG;TWN","","","","","","","","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_103100","mofa_material_id_auto_exact_bunruiNo","2014-4133","legacy_2014_4133","","100-103100","https://da.mofa.go.jp/material-detail?id=100-103100","国連代表権問題/中共","Question of China's Representation in the United Nations","Partially Open","GLOBAL;EAST_ASIA","NORTH_AMERICA;WESTERN_EUROPE;EUROPE;ASIA;EASTERN_EUROPE;OCEANIA;LATIN_AMERICA;AFRICA;MIDEAST","PRC;ROC;USA;AUS;NZL","","UN;UNGA","","UNGA_26_1971","","","DECOLONIZATION_AND_UN_DIPLOMACY;POSTCOLONIAL_STATES_AND_CHINA_REPRESENTATION;THIRD_WORLD_RESPONSES_TO_CHINA_REPRESENTATION","","","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
"mofa_100_101500","mofa_material_id_auto_exact_bunruiNo","2014-2744","legacy_2014_2744","","100-101500","https://da.mofa.go.jp/material-detail?id=100-101500","国連中国代表権問題/中共（各国の態度）","Question of China's Representation in the United Nations: Attitudes of Various Countries","Partially Open","GLOBAL;EAST_ASIA","LATIN_AMERICA;AFRICA;OCEANIA","PRC;ROC;COL;VEN;ARG;ECU;MEX;BRA;PAN;PRY;URY;DOM;BOL;CHL;PER;CIV;GHA;ZAF;MDG;SEN;KEN;AUS;NZL","CONGO_ENTITY_AMBIGUOUS","UN;UNGA","","UNGA_26_1971","","UN_CHINA_REPRESENTATION_ISSUE;VOTING_BEHAVIOR;VOTE_COUNTING;DIPLOMATIC_LOBBYING;SUPPORT_REQUEST;FOREIGN_GOVERNMENT_ATTITUDES;JAPANESE_DIPLOMATIC_REPORTING;PRC_ROC_COMPETITION","FRENCH_COLONIAL_LEGACY_IN_AFRICA;POSTCOLONIAL_STATES_AND_CHINA_REPRESENTATION;DECOLONIZATION_AND_UN_DIPLOMACY","国連中国代表権問題：ラテンアメリカ・アフリカ・オセアニア諸国の態度","Question of China's Representation in the United Nations: Attitudes of Latin American, African, and Oceanian Countries","Auto-filled from MOFA Diplomatic Archives API exact bunruiNo search on 2026-06-25."
